"teststep","rating","desc","com.activ8rlives.mobile","com.fitbit.FitbitMobile","com.hapiconnect","com.medm.medmwt.diary","com.stabxtom.thomson","com.withings.wiscale2","com.medm.ichoice.diary"
"av2_export_backup","data not encrypted: 2 / data in backup encrypted: 1 / no data stored: 0 ","data is being backed up using the android backup command","0 -- no data in backup found","2 -- database not encrypted and shared prefs in clear text","2 -- database unencrypted, password in clear text in shared prefs, ","1 -- sqlite databases not encrypted; shared preferences are obscured and encrypted","2 -- unencrypted database","2 -- database not encrypted","2 -- data in caches but unencrypted"
"number of issues","","","0.0","2.0","3.0","1.0","3.0","2.0","2.0"
"av2_export_logging","information available: 1 / no information: 0","investigate the Android log for unencrypted information","0 -- no suspicious data in logging information","0 -- no information in log file","1 -- detailed information on each reqeust","0 -- no information leaked in logcat","1 -- information on the recorded data and partly http traces","0 -- no information written to logcat","0 -- no additional logging information"
